q_w,q_x,q_y,q_z,t
-0.5703469999134541,0.3425500001758337,-0.3958979994058609,0.6330340001732111,1555155704939068.0
-0.5703591052442789,0.34253789484500885,-0.3958737924695015,0.633046105504036,1555155704940377.0
-0.5703713279217482,0.3425256721675396,-0.3958493433892727,0.6330583281815052,1555155704941699.0
-0.5703837182372808,0.3425132818520069,-0.3958245627582073,0.6330707184970379,1555155704943039.0
-0.570396376773715,0.34250062331557274,-0.395799245685339,0.6330833770334721,1555155704944408.0
-0.5704080015420914,0.34248900040984154,-0.39577600359916687,0.6330950036644936,1555155704945665.0
-0.5704241059720516,0.3424728959798813,-0.3957276940345764,0.6331272125244141,1555155704947079.0
-0.5704385116696358,0.34245849028229713,-0.39568447321653366,0.633156031370163,1555155704948344.0
-0.5704534761607647,0.3424435257911682,-0.3956395760178566,0.6331859603524208,1555155704949658.0
-0.570469,0.3424280006438494,-0.39559299871325493,0.6332169994711876,1555155704951021.0
-0.570469,0.34241602942347527,-0.3955690562725067,0.6332409419119358,1555155704952324.0
-0.570469,0.34240374714136124,-0.39554449170827866,0.6332655064761639,1555155704953661.0
-0.570469,0.3423913363367319,-0.39551967009902,0.6332903280854225,1555155704955012.0
-0.570469,0.34237937442958355,-0.3954957462847233,0.6333142518997192,1555155704956314.0
-0.5704689994454384,0.3423670008778572,-0.3954709991812706,0.6333390008658171,1555155704957661.0
-0.5704811383038759,0.34234272316098213,-0.39545886032283306,0.6333511397242546,1555155704958975.0
-0.5704933330416679,0.3423183336853981,-0.39544666558504105,0.6333633344620466,1555155704960295.0
-0.5705056395381689,0.34229372441768646,-0.3954343609511852,0.6333756409585476,1555155704961627.0
-0.5705178324133158,0.34226933494210243,-0.3954221662133932,0.6333878338336945,1555155704962947.0
-0.5705300010740757,0.3422450013458729,-0.3954100012779236,0.6334000006318092,1555155704964264.0
-0.5705149658024311,0.3422299660742283,-0.3953949697315693,0.6334303095936775,1555155704965579.0
-0.5704994536936283,0.3422144539654255,-0.3953794538974762,0.6334615871310234,1555155704966936.0
-0.570484284311533,0.34219928458333015,-0.39536428451538086,0.6334921792149544,1555155704968263.0
-0.570469,0.34218399971723557,-0.39534899964928627,0.6335230004042387,1555155704969600.0
-0.570469,0.34214790165424347,-0.39536103047430515,0.6335350330919027,1555155704970905.0
-0.570469,0.34211014956235886,-0.3953736163675785,0.6335476189851761,1555155704972270.0
-0.570469,0.34207460284233093,-0.39538546465337276,0.6335594672709703,1555155704973555.0
-0.570469,0.34203822910785675,-0.3953975886106491,0.6335715912282467,1555155704974870.0
-0.5704689994454384,0.34200100041925907,-0.39540999941527843,0.6335840001702309,1555155704976216.0
-0.5704587791115046,0.34199078008532524,-0.3953997790813446,0.6335942205041647,1555155704977544.0
-0.5704484060406685,0.3419804070144892,-0.3953894041478634,0.6336045935750008,1555155704978892.0
-0.5704385470598936,0.3419705480337143,-0.3953795451670885,0.6336144525557756,1555155704980173.0
-0.5704283267259598,0.34196032769978046,-0.3953693248331547,0.6336246728897095,1555155704981501.0
-0.5704177673906088,0.3419497683644295,-0.3953587654978037,0.6336352322250605,1555155704982873.0
-0.5704079996794462,0.3419400006532669,-0.39534899964928627,0.633644999936223,1555155704984142.0
-0.5704128351062536,0.3419314119964838,-0.39533719420433044,0.6336525082588196,1555155704985507.0
-0.5704174255952239,0.34192325733602047,-0.3953259848058224,0.6336596347391605,1555155704986803.0
-0.570957999676466,0.34096300043165684,-0.39400599896907806,0.6344990003854036,1555155705139424.0
-0.5709702204912901,0.34095077961683273,-0.39398155733942986,0.6345112212002277,1555155705140759.0
-0.5709823966026306,0.3409386035054922,-0.3939572051167488,0.6345233973115683,1555155705142089.0
-0.5709946285933256,0.3409263715147972,-0.3939327411353588,0.6345356293022633,1555155705143425.0
-0.5710067767649889,0.3409142233431339,-0.39390844479203224,0.6345477774739265,1555155705144752.0
-0.5710189994424582,0.3409020006656647,-0.39388399943709373,0.6345600001513958,1555155705146087.0
-0.5710298158228397,0.3408803679049015,-0.3938731849193573,0.6345708165317774,1555155705147498.0
-0.571039604023099,0.3408607915043831,-0.39386339485645294,0.6345806047320366,1555155705148775.0
-0.5710495449602604,0.3408409096300602,-0.3938534539192915,0.634590545669198,1555155705150072.0
-0.5710596181452274,0.3408207632601261,-0.3938433825969696,0.6346006188541651,1555155705151386.0
-0.5710699893534184,0.3408000208437443,-0.3938330113887787,0.634610990062356,1555155705152739.0
-0.57108,0.34078,-0.39382299967110157,0.634620999917388,1555155705154045.0
-0.57108,0.34078,-0.39381076768040657,0.634633231908083,1555155705155380.0
-0.57108,0.34078,-0.39379870146512985,0.6346452981233597,1555155705156697.0
-0.57108,0.34078,-0.39378652535378933,0.6346574742347002,1555155705158026.0
-0.57108,0.34078,-0.3937744311988354,0.6346695683896542,1555155705159346.0
-0.57108,0.3407799992710352,-0.3937619999051094,0.6346819996833801,1555155705160703.0
-0.57108,0.34076797403395176,-0.39374997466802597,0.6346940267831087,1555155705162005.0
-0.57108,0.34075579047203064,-0.39373779110610485,0.6347062103450298,1555155705163324.0
-0.57108,0.34074351377785206,-0.39372551441192627,0.6347184851765633,1555155705164653.0
-0.57108,0.3407311085611582,-0.3937131091952324,0.6347308903932571,1555155705165996.0
-0.57108,0.340719,-0.3937010020017624,0.6347430013120174,1555155705167307.0
-0.57108,0.340719,-0.3936702609062195,0.6347583718597889,1555155705168651.0
-0.57108,0.340719,-0.39364050328731537,0.634773250669241,1555155705169952.0
-0.57108,0.340719,-0.3936096727848053,0.634788665920496,1555155705171300.0
-0.5710799992084503,0.34071899950504303,-0.3935790006071329,0.6348039992153645,1555155705172641.0
-0.5710919853299856,0.3406950309872627,-0.39356701634824276,0.6348159853368998,1555155705173942.0
-0.5711041707545519,0.3406706564128399,-0.39355482906103134,0.634828170761466,1555155705175265.0
-0.5711162947118282,0.3406464122235775,-0.393542705103755,0.6348402947187424,1555155705176581.0
-0.57112867385149,0.3406216502189636,-0.3935303259640932,0.6348526738584042,1555155705177925.0
-0.5711410008370876,0.340597,-0.39351800084114075,0.6348650008440018,1555155705179263.0
-0.5711287688463926,0.340597,-0.39350576885044575,0.6348894648253918,1555155705180592.0
-0.5711165815591812,0.340597,-0.39349358156323433,0.6349138393998146,1555155705181916.0
-0.5711043030023575,0.340597,-0.3934813030064106,0.6349383965134621,1555155705183250.0
-0.5710921157151461,0.340597,-0.3934691157191992,0.6349627710878849,1555155705184574.0
-0.5710800000233576,0.3405969999730587,-0.393457000143826,0.6349870003759861,1555155705185890.0
-0.5710805226117373,0.34059281926602125,-0.3934507202357054,0.634992235340178,1555155705187209.0
-0.571141,0.340109,-0.39272399999999996,0.635598,1555155705339842.0
-0.571141,0.3401090018451214,-0.39266299828886986,0.635659,1555155705341202.0
-0.571141,0.3400939218699932,-0.3926479183137417,0.635659,1555155705342504.0
-0.571141,0.34007881581783295,-0.3926328122615814,0.635659,1555155705343808.0
-0.571141,0.3400632366538048,-0.39261723309755325,0.635659,1555155705345153.0
-0.5711410008370876,0.340048,-0.392602,0.635659,1555155705346468.0
-0.5711513832211494,0.340048,-0.392602,0.635659,1555155705347825.0
-0.5711616277694702,0.340048,-0.392602,0.635659,1555155705349164.0
-0.5711714122444391,0.340048,-0.392602,0.635659,1555155705350443.0
-0.5711815655231476,0.340048,-0.392602,0.635659,1555155705351770.0
-0.5711918789893389,0.340048,-0.392602,0.635659,1555155705353118.0
-0.5712020000000001,0.340048,-0.39260200038552284,0.635659,1555155705354441.0
-0.5712020000000001,0.340048,-0.3926120363175869,0.635659,1555155705355751.0
-0.5712020000000001,0.340048,-0.3926224149763584,0.635659,1555155705357106.0
-0.5712020000000001,0.340048,-0.39263238199055195,0.635659,1555155705358407.0
-0.5712020000000001,0.340048,-0.3926430828869343,0.635659,1555155705359804.0
-0.5712020000000001,0.340048,-0.39265293441712856,0.635659,1555155705361090.0
-0.5712019987404346,0.340048,-0.39266300201416016,0.6356590017676353,1555155705362404.0
