angv_x,angv_y,angv_z,lina_x,lina_y,lina_z
0.75,0.875,-1.375,-0.04,-0.05,0
0.75,0.875,-1.375,-0.04,-0.05,0
1,0.125,-0.6875,-0.04,-0.05,0
1,0.125,-0.6875,-0.04,-0.05,0
1,0.125,-0.6875,-0.12,0.12,-0.08
1,0.125,-0.6875,-0.12,0.12,-0.08
1,0.125,-0.6875,-0.12,0.12,-0.08
1.6875,1.75,-0.25,-0.12,0.12,-0.08
1.6875,1.75,-0.25,-0.12,0.12,-0.08
1.6875,1.75,-0.25,-0.32,0.16,0.01
1.6875,1.75,-0.25,-0.32,0.16,0.01
1.6875,1.75,-0.25,-0.32,0.16,0.01
0.875,0.375,-0.9375,-0.32,0.16,0.01
0.875,0.375,-0.9375,-0.39,-0.06,0.07
0.875,0.375,-0.9375,-0.39,-0.06,0.07
0.875,0.375,-0.9375,-0.39,-0.06,0.07
1.125,-1.625,-1.4375,-0.39,-0.06,0.07
1.125,-1.625,-1.4375,-0.34,-0.24,0.07
1.125,-1.625,-1.4375,-0.34,-0.24,0.07
1.125,-1.625,-1.4375,-0.34,-0.24,0.07
1.125,-1.625,-1.4375,-0.34,-0.24,0.07
1.125,-1.625,-1.4375,-0.01,-0.06,0.02
1.125,-1.625,-1.4375,-0.01,-0.06,0.02
1.125,-1.625,-1.4375,-0.01,-0.06,0.02
1.125,-1.625,-1.4375,-0.01,-0.06,0.02
2.1875,-2.375,-0.8125,-0.01,-0.06,0.02
2.1875,-2.375,-0.8125,0.15,0.11,-0.08
2.1875,-2.375,-0.8125,0.15,0.11,-0.08
2.1875,-2.375,-0.8125,0.15,0.11,-0.08
2.1875,-2.375,-0.8125,0.15,0.11,-0.08
2.3125,-1.5,-0.25,0.15,0.11,-0.08
2.5,-1.125,0.0625,0.16,0.05,0.03
2.5,-1.125,0.0625,0.16,0.05,0.03
2.375,0.125,-0.9375,0.16,0.05,0.03
2.375,0.125,-0.9375,0.16,0.05,0.03
2.375,0.125,-0.9375,0.05,-0.17,0.21
2.375,0.125,-0.9375,0.05,-0.17,0.21
4.125,-0.3125,-0.25,0.05,-0.17,0.21
4.125,-0.3125,-0.25,0.05,-0.17,0.21
4.125,-0.3125,-0.25,0.05,-0.17,0.21
4.125,-0.3125,-0.25,-0.19,-0.13,-0.06
4.125,-0.3125,-0.25,-0.19,-0.13,-0.06
4.125,-0.3125,-0.25,-0.19,-0.13,-0.06
4.125,-0.3125,-0.25,-0.19,-0.13,-0.06
5.8125,0.4375,-0.8125,-0.19,-0.13,-0.06
5.8125,0.4375,-0.8125,0,-0.05,-0.17
5.8125,0.4375,-0.8125,0,-0.05,-0.17
5.8125,0.4375,-0.8125,0,-0.05,-0.17
5.8125,0.4375,-0.8125,0,-0.05,-0.17
6.5625,1.0625,-0.375,0,-0.05,-0.17
6.5625,1.0625,-0.375,-0.05,0.35,-0.23
6.5625,1.0625,-0.375,-0.05,0.35,-0.23
6.5625,1.0625,-0.375,-0.05,0.35,-0.23
4.8125,0.25,-0.9375,-0.05,0.35,-0.23
4.8125,0.25,-0.9375,0,0.11,0.02
4.8125,0.25,-0.9375,0,0.11,0.02
4.8125,0.25,-0.9375,0,0.11,0.02
4.8125,0.25,-0.9375,0,0.11,0.02
4.8125,0.25,-0.9375,-0.2,0.19,0.07
4.8125,0.25,-0.9375,-0.2,0.19,0.07
4.8125,0.25,-0.9375,-0.2,0.19,0.07
4.8125,0.25,-0.9375,-0.2,0.19,0.07
3.75,-0.1875,-0.8125,-0.2,0.19,0.07
3.75,-0.1875,-0.8125,-0.21,-0.05,-0.01
3.75,-0.1875,-0.8125,-0.21,-0.05,-0.01
3.75,-0.1875,-0.8125,-0.21,-0.05,-0.01
3.75,-0.1875,-0.8125,-0.21,-0.05,-0.01
4.625,-0.6875,0.5,-0.21,-0.05,-0.01
0.375,-0.3125,0.5,0.11,-0.04,-0.04
0.375,-0.3125,0.5,-0.05,-0.13,0.05
0.375,-0.3125,0.5,-0.05,-0.13,0.05
0.375,-0.3125,0.5,-0.05,-0.13,0.05
0.375,-0.3125,0.5,-0.05,-0.13,0.05
0.375,0.0625,0.1875,-0.05,-0.13,0.05
0.375,0.0625,0.1875,0.05,0.02,-0.04
0.375,0.0625,0.1875,0.05,0.02,-0.04
0.375,0.0625,0.1875,0.05,0.02,-0.04
0.25,0.75,-0.4375,0.05,0.02,-0.04
0.25,0.75,-0.4375,-0.12,0.12,-0.08
0.25,0.75,-0.4375,-0.12,0.12,-0.08
0.25,0.75,-0.4375,-0.12,0.12,-0.08
0.4375,0.1875,0.0625,0.03,0.01,-0.02
0.4375,0.1875,0.0625,0.03,0.01,-0.02
0.4375,0.1875,0.0625,0.03,0.01,-0.02
0.4375,0.1875,0.0625,0.03,0.01,-0.02
1.0625,0.875,0.0625,0.03,0.01,-0.02
1.0625,0.875,0.0625,-0.3,-0.04,0
1.0625,0.875,0.0625,-0.3,-0.04,0
1.0625,0.875,0.0625,-0.3,-0.04,0
1,-0.5,-0.25,-0.3,-0.04,0
1,-0.5,-0.25,-0.01,-0.24,0.07
1,-0.5,-0.25,-0.01,-0.24,0.07
1,-0.5,-0.25,-0.01,-0.24,0.07
2.5625,0.5,0.4375,-0.01,-0.24,0.07
2.5625,0.5,0.4375,-0.01,-0.24,0.07
2.5625,0.5,0.4375,-0.01,-0.24,0.07
2.5625,0.5,0.4375,0.02,-0.29,0.36
2.5625,0.5,0.4375,0.02,-0.29,0.36
2.5625,0.5,0.4375,0.02,-0.29,0.36
4.125,-0.6875,-1.0625,0.02,-0.29,0.36
